ClosePeriod,Entity,PostingDate,DocNo,DocType,Account,Amount,Currency,Text,FSLine,BSPLFlag,AccountName
2025-01,ENT01,01/01/2025,AR-INV-2025-0013,ARINV,477000,-882.0945,EUR,Output VAT 21% AR-INV-2025-0013,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,20/01/2025,AR-INV-2025-0014,ARINV,430000,9486.4242,EUR,AR invoice AR-INV-2025-0014 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,20/01/2025,AR-INV-2025-0014,ARINV,700000,-7840.02,EUR,SaaS revenue AR-INV-2025-0014,Revenue,PL,Subscription revenue
2025-01,ENT01,20/01/2025,AR-INV-2025-0014,ARINV,477000,-1646.4042,EUR,Output VAT 21% AR-INV-2025-0014,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,13/01/2025,AR-INV-2025-0015,ARINV,430000,4981.3401,EUR,AR invoice AR-INV-2025-0015 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,13/01/2025,AR-INV-2025-0015,ARINV,700000,-4116.81,EUR,SaaS revenue AR-INV-2025-0015,Revenue,PL,Subscription revenue
2025-01,ENT01,13/01/2025,AR-INV-2025-0015,ARINV,477000,-864.5301,EUR,Output VAT 21% AR-INV-2025-0015,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,09/01/2025,AR-INV-2025-0016,ARINV,430000,9397.1262,EUR,AR invoice AR-INV-2025-0016 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,09/01/2025,AR-INV-2025-0016,ARINV,700000,-7766.22,EUR,SaaS revenue AR-INV-2025-0016,Revenue,PL,Subscription revenue
2025-01,ENT01,09/01/2025,AR-INV-2025-0016,ARINV,477000,-1630.9062,EUR,Output VAT 21% AR-INV-2025-0016,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,06/01/2025,AR-INV-2025-0017,ARINV,430000,3451.3677,EUR,AR invoice AR-INV-2025-0017 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,06/01/2025,AR-INV-2025-0017,ARINV,700000,-2852.37,EUR,SaaS revenue AR-INV-2025-0017,Revenue,PL,Subscription revenue
2025-01,ENT01,06/01/2025,AR-INV-2025-0017,ARINV,477000,-598.9977,EUR,Output VAT 21% AR-INV-2025-0017,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,17/01/2025,AR-INV-2025-0018,ARINV,430000,3548.1072,EUR,AR invoice AR-INV-2025-0018 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,17/01/2025,AR-INV-2025-0018,ARINV,700000,-2932.32,EUR,SaaS revenue AR-INV-2025-0018,Revenue,PL,Subscription revenue
2025-01,ENT01,17/01/2025,AR-INV-2025-0018,ARINV,477000,-615.7872,EUR,Output VAT 21% AR-INV-2025-0018,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,16/01/2025,AR-INV-2025-0019,ARINV,430000,9577.2105,EUR,AR invoice AR-INV-2025-0019 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,16/01/2025,AR-INV-2025-0019,ARINV,700000,-7915.05,EUR,SaaS revenue AR-INV-2025-0019,Revenue,PL,Subscription revenue
2025-01,ENT01,16/01/2025,AR-INV-2025-0019,ARINV,477000,-1662.1605,EUR,Output VAT 21% AR-INV-2025-0019,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,28/01/2025,AR-INV-2025-0020,ARINV,430000,7639.4439,EUR,AR invoice AR-INV-2025-0020 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,28/01/2025,AR-INV-2025-0020,ARINV,700000,-6313.59,EUR,SaaS revenue AR-INV-2025-0020,Revenue,PL,Subscription revenue
2025-01,ENT01,28/01/2025,AR-INV-2025-0020,ARINV,477000,-1325.8539,EUR,Output VAT 21% AR-INV-2025-0020,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,02/01/2025,AR-INV-2025-0021,ARINV,430000,12393.0741,EUR,AR invoice AR-INV-2025-0021 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,02/01/2025,AR-INV-2025-0021,ARINV,700000,-10242.21,EUR,SaaS revenue AR-INV-2025-0021,Revenue,PL,Subscription revenue
2025-01,ENT01,02/01/2025,AR-INV-2025-0021,ARINV,477000,-2150.8641,EUR,Output VAT 21% AR-INV-2025-0021,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,24/01/2025,AR-INV-2025-0022,ARINV,430000,4234.2135,EUR,AR invoice AR-INV-2025-0022 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,24/01/2025,AR-INV-2025-0022,ARINV,700000,-3499.35,EUR,SaaS revenue AR-INV-2025-0022,Revenue,PL,Subscription revenue
2025-01,ENT01,24/01/2025,AR-INV-2025-0022,ARINV,477000,-734.8635,EUR,Output VAT 21% AR-INV-2025-0022,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,17/01/2025,AR-INV-2025-0023,ARINV,430000,3112.0353,EUR,AR invoice AR-INV-2025-0023 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,17/01/2025,AR-INV-2025-0023,ARINV,700000,-2571.93,EUR,SaaS revenue AR-INV-2025-0023,Revenue,PL,Subscription revenue
2025-01,ENT01,17/01/2025,AR-INV-2025-0023,ARINV,477000,-540.1053,EUR,Output VAT 21% AR-INV-2025-0023,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,24/01/2025,AR-INV-2025-0024,ARINV,430000,8338.9449,EUR,AR invoice AR-INV-2025-0024 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,24/01/2025,AR-INV-2025-0024,ARINV,700000,-6891.69,EUR,SaaS revenue AR-INV-2025-0024,Revenue,PL,Subscription revenue
2025-01,ENT01,24/01/2025,AR-INV-2025-0024,ARINV,477000,-1447.2549,EUR,Output VAT 21% AR-INV-2025-0024,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,28/01/2025,AR-INV-2025-0025,ARINV,430000,10008.8175,EUR,AR invoice AR-INV-2025-0025 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,28/01/2025,AR-INV-2025-0025,ARINV,700000,-8271.75,EUR,SaaS revenue AR-INV-2025-0025,Revenue,PL,Subscription revenue
2025-01,ENT01,28/01/2025,AR-INV-2025-0025,ARINV,477000,-1737.0675,EUR,Output VAT 21% AR-INV-2025-0025,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,27/01/2025,AR-INV-2025-0026,ARINV,430000,5878.785,EUR,AR invoice AR-INV-2025-0026 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,27/01/2025,AR-INV-2025-0026,ARINV,700000,-4858.5,EUR,SaaS revenue AR-INV-2025-0026,Revenue,PL,Subscription revenue
2025-01,ENT01,27/01/2025,AR-INV-2025-0026,ARINV,477000,-1020.285,EUR,Output VAT 21% AR-INV-2025-0026,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,03/01/2025,AR-INV-2025-0027,ARINV,430000,2306.865,EUR,AR invoice AR-INV-2025-0027 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,03/01/2025,AR-INV-2025-0027,ARINV,700000,-1906.5,EUR,SaaS revenue AR-INV-2025-0027,Revenue,PL,Subscription revenue
2025-01,ENT01,03/01/2025,AR-INV-2025-0027,ARINV,477000,-400.365,EUR,Output VAT 21% AR-INV-2025-0027,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,10/01/2025,AR-INV-2025-0028,ARINV,430000,8246.6703,EUR,AR invoice AR-INV-2025-0028 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,10/01/2025,AR-INV-2025-0028,ARINV,700000,-6815.43,EUR,SaaS revenue AR-INV-2025-0028,Revenue,PL,Subscription revenue
2025-01,ENT01,10/01/2025,AR-INV-2025-0028,ARINV,477000,-1431.2403,EUR,Output VAT 21% AR-INV-2025-0028,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,03/01/2025,AR-INV-2025-0029,ARINV,430000,6867.0162,EUR,AR invoice AR-INV-2025-0029 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,03/01/2025,AR-INV-2025-0029,ARINV,700000,-5675.22,EUR,SaaS revenue AR-INV-2025-0029,Revenue,PL,Subscription revenue
2025-01,ENT01,03/01/2025,AR-INV-2025-0029,ARINV,477000,-1191.7962,EUR,Output VAT 21% AR-INV-2025-0029,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,06/01/2025,AR-INV-2025-0030,ARINV,430000,10458.2841,EUR,AR invoice AR-INV-2025-0030 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,06/01/2025,AR-INV-2025-0030,ARINV,700000,-8643.21,EUR,SaaS revenue AR-INV-2025-0030,Revenue,PL,Subscription revenue
2025-01,ENT01,06/01/2025,AR-INV-2025-0030,ARINV,477000,-1815.0741,EUR,Output VAT 21% AR-INV-2025-0030,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,13/01/2025,AR-INV-2025-0031,ARINV,430000,12245.7324,EUR,AR invoice AR-INV-2025-0031 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,13/01/2025,AR-INV-2025-0031,ARINV,700000,-10120.44,EUR,SaaS revenue AR-INV-2025-0031,Revenue,PL,Subscription revenue
2025-01,ENT01,13/01/2025,AR-INV-2025-0031,ARINV,477000,-2125.2924,EUR,Output VAT 21% AR-INV-2025-0031,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,16/01/2025,AR-INV-2025-0032,ARINV,430000,5155.4712,EUR,AR invoice AR-INV-2025-0032 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,16/01/2025,AR-INV-2025-0032,ARINV,700000,-4260.72,EUR,SaaS revenue AR-INV-2025-0032,Revenue,PL,Subscription revenue
2025-01,ENT01,16/01/2025,AR-INV-2025-0032,ARINV,477000,-894.7512,EUR,Output VAT 21% AR-INV-2025-0032,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,16/01/2025,AR-INV-2025-0033,ARINV,430000,9852.546,EUR,AR invoice AR-INV-2025-0033 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,16/01/2025,AR-INV-2025-0033,ARINV,700000,-8142.6,EUR,SaaS revenue AR-INV-2025-0033,Revenue,PL,Subscription revenue
2025-01,ENT01,16/01/2025,AR-INV-2025-0033,ARINV,477000,-1709.946,EUR,Output VAT 21% AR-INV-2025-0033,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,09/01/2025,AR-INV-2025-0034,ARINV,430000,7700.4642,EUR,AR invoice AR-INV-2025-0034 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,09/01/2025,AR-INV-2025-0034,ARINV,700000,-6364.02,EUR,SaaS revenue AR-INV-2025-0034,Revenue,PL,Subscription revenue
2025-01,ENT01,09/01/2025,AR-INV-2025-0034,ARINV,477000,-1336.4442,EUR,Output VAT 21% AR-INV-2025-0034,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,03/01/2025,AR-INV-2025-0035,ARINV,430000,5362.3449,EUR,AR invoice AR-INV-2025-0035 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,03/01/2025,AR-INV-2025-0035,ARINV,700000,-4431.69,EUR,SaaS revenue AR-INV-2025-0035,Revenue,PL,Subscription revenue
2025-01,ENT01,03/01/2025,AR-INV-2025-0035,ARINV,477000,-930.6549,EUR,Output VAT 21% AR-INV-2025-0035,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,24/01/2025,AR-INV-2025-0036,ARINV,430000,7158.723,EUR,AR invoice AR-INV-2025-0036 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,24/01/2025,AR-INV-2025-0036,ARINV,700000,-5916.3,EUR,SaaS revenue AR-INV-2025-0036,Revenue,PL,Subscription revenue
2025-01,ENT01,24/01/2025,AR-INV-2025-0036,ARINV,477000,-1242.423,EUR,Output VAT 21% AR-INV-2025-0036,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,08/01/2025,AR-INV-2025-0037,ARINV,430000,12461.5359,EUR,AR invoice AR-INV-2025-0037 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,08/01/2025,AR-INV-2025-0037,ARINV,700000,-10298.79,EUR,SaaS revenue AR-INV-2025-0037,Revenue,PL,Subscription revenue
2025-01,ENT01,08/01/2025,AR-INV-2025-0037,ARINV,477000,-2162.7459,EUR,Output VAT 21% AR-INV-2025-0037,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,17/01/2025,AR-INV-2025-0038,ARINV,430000,7771.9026,EUR,AR invoice AR-INV-2025-0038 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,17/01/2025,AR-INV-2025-0038,ARINV,700000,-6423.06,EUR,SaaS revenue AR-INV-2025-0038,Revenue,PL,Subscription revenue
2025-01,ENT01,17/01/2025,AR-INV-2025-0038,ARINV,477000,-1348.8426,EUR,Output VAT 21% AR-INV-2025-0038,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,24/01/2025,AR-INV-2025-0039,ARINV,430000,6545.5434,EUR,AR invoice AR-INV-2025-0039 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,24/01/2025,AR-INV-2025-0039,ARINV,700000,-5409.54,EUR,SaaS revenue AR-INV-2025-0039,Revenue,PL,Subscription revenue
2025-01,ENT01,24/01/2025,AR-INV-2025-0039,ARINV,477000,-1136.0034,EUR,Output VAT 21% AR-INV-2025-0039,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,15/01/2025,AR-INV-2025-0040,ARINV,430000,2553.9228,EUR,AR invoice AR-INV-2025-0040 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,15/01/2025,AR-INV-2025-0040,ARINV,700000,-2110.68,EUR,SaaS revenue AR-INV-2025-0040,Revenue,PL,Subscription revenue
2025-01,ENT01,15/01/2025,AR-INV-2025-0040,ARINV,477000,-443.2428,EUR,Output VAT 21% AR-INV-2025-0040,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,10/01/2025,AR-INV-2025-0041,ARINV,430000,1971.9975,EUR,AR invoice AR-INV-2025-0041 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,10/01/2025,AR-INV-2025-0041,ARINV,700000,-1629.75,EUR,SaaS revenue AR-INV-2025-0041,Revenue,PL,Subscription revenue
2025-01,ENT01,10/01/2025,AR-INV-2025-0041,ARINV,477000,-342.2475,EUR,Output VAT 21% AR-INV-2025-0041,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,15/01/2025,AR-INV-2025-0042,ARINV,430000,10971.7476,EUR,AR invoice AR-INV-2025-0042 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,15/01/2025,AR-INV-2025-0042,ARINV,700000,-9067.56,EUR,SaaS revenue AR-INV-2025-0042,Revenue,PL,Subscription revenue
2025-01,ENT01,15/01/2025,AR-INV-2025-0042,ARINV,477000,-1904.1876,EUR,Output VAT 21% AR-INV-2025-0042,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,13/01/2025,AR-INV-2025-0043,ARINV,430000,2803.9572,EUR,AR invoice AR-INV-2025-0043 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,13/01/2025,AR-INV-2025-0043,ARINV,700000,-2317.32,EUR,SaaS revenue AR-INV-2025-0043,Revenue,PL,Subscription revenue
2025-01,ENT01,13/01/2025,AR-INV-2025-0043,ARINV,477000,-486.6372,EUR,Output VAT 21% AR-INV-2025-0043,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,09/01/2025,AR-INV-2025-0044,ARINV,430000,8862.8265,EUR,AR invoice AR-INV-2025-0044 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,09/01/2025,AR-INV-2025-0044,ARINV,700000,-7324.65,EUR,SaaS revenue AR-INV-2025-0044,Revenue,PL,Subscription revenue
2025-01,ENT01,09/01/2025,AR-INV-2025-0044,ARINV,477000,-1538.1765,EUR,Output VAT 21% AR-INV-2025-0044,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,09/01/2025,AR-INV-2025-0045,ARINV,430000,13363.4457,EUR,AR invoice AR-INV-2025-0045 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,09/01/2025,AR-INV-2025-0045,ARINV,700000,-11044.17,EUR,SaaS revenue AR-INV-2025-0045,Revenue,PL,Subscription revenue
2025-01,ENT01,09/01/2025,AR-INV-2025-0045,ARINV,477000,-2319.2757,EUR,Output VAT 21% AR-INV-2025-0045,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,17/01/2025,AR-INV-2025-0046,ARINV,430000,12378.1911,EUR,AR invoice AR-INV-2025-0046 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,17/01/2025,AR-INV-2025-0046,ARINV,700000,-10229.91,EUR,SaaS revenue AR-INV-2025-0046,Revenue,PL,Subscription revenue
2025-01,ENT01,17/01/2025,AR-INV-2025-0046,ARINV,477000,-2148.2811,EUR,Output VAT 21% AR-INV-2025-0046,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,07/01/2025,AR-INV-2025-0047,ARINV,430000,7648.3737,EUR,AR invoice AR-INV-2025-0047 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,07/01/2025,AR-INV-2025-0047,ARINV,700000,-6320.97,EUR,SaaS revenue AR-INV-2025-0047,Revenue,PL,Subscription revenue
2025-01,ENT01,07/01/2025,AR-INV-2025-0047,ARINV,477000,-1327.4037,EUR,Output VAT 21% AR-INV-2025-0047,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,07/01/2025,AR-INV-2025-0048,ARINV,430000,7203.372,EUR,AR invoice AR-INV-2025-0048 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,07/01/2025,AR-INV-2025-0048,ARINV,700000,-5953.2,EUR,SaaS revenue AR-INV-2025-0048,Revenue,PL,Subscription revenue
2025-01,ENT01,07/01/2025,AR-INV-2025-0048,ARINV,477000,-1250.172,EUR,Output VAT 21% AR-INV-2025-0048,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,24/01/2025,AR-INV-2025-0049,ARINV,430000,7596.2832,EUR,AR invoice AR-INV-2025-0049 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,24/01/2025,AR-INV-2025-0049,ARINV,700000,-6277.92,EUR,SaaS revenue AR-INV-2025-0049,Revenue,PL,Subscription revenue
2025-01,ENT01,24/01/2025,AR-INV-2025-0049,ARINV,477000,-1318.3632,EUR,Output VAT 21% AR-INV-2025-0049,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,27/01/2025,AR-INV-2025-0050,ARINV,430000,11637.0177,EUR,AR invoice AR-INV-2025-0050 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,27/01/2025,AR-INV-2025-0050,ARINV,700000,-9617.37,EUR,SaaS revenue AR-INV-2025-0050,Revenue,PL,Subscription revenue
2025-01,ENT01,27/01/2025,AR-INV-2025-0050,ARINV,477000,-2019.6477,EUR,Output VAT 21% AR-INV-2025-0050,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,27/01/2025,AR-INV-2025-0051,ARINV,430000,10928.5869,EUR,AR invoice AR-INV-2025-0051 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,27/01/2025,AR-INV-2025-0051,ARINV,700000,-9031.89,EUR,SaaS revenue AR-INV-2025-0051,Revenue,PL,Subscription revenue
2025-01,ENT01,27/01/2025,AR-INV-2025-0051,ARINV,477000,-1896.6969,EUR,Output VAT 21% AR-INV-2025-0051,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,16/01/2025,AR-INV-2025-0052,ARINV,430000,6538.1019,EUR,AR invoice AR-INV-2025-0052 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,16/01/2025,AR-INV-2025-0052,ARINV,700000,-5403.39,EUR,SaaS revenue AR-INV-2025-0052,Revenue,PL,Subscription revenue
